Rank,Name,FirstName,LastName,MLBAMID,PlayerSlug,Position,PrimaryPosition,Org,OrgID,CurrentTeam,CurrentTeamID,Level,ETA,Age,BirthDate,BirthCity,BirthCountry,Height,Weight,Bats,Throws,DraftYear,BioExcerpt,Source,SourceURL,ArticleURL,FetchedAtUTC
11,Franklin Arias,Franklin,Arias,808265,franklin-arias-808265,SS,SS,Boston Red Sox,111,Portland Sea Dogs,546,AA,2027,20,2005-11-19,Caracas,Venezuela,"5' 11""",170,R,R,,"Scouting grades: Hit: 50 | Power: 45 | Run: 60 | Arm: 60 | Field: 60 | Overall: 50 The Red Sox gave the two highest bonuses in their 2023 international class to shortstops Yoeilin Cespedes ($1.4 million) and Franklin Arias ($525,000). Cespedes has the loftier offensive ceiling, but Arias is the superior defender and already ranks with the best infielders in the system. Arias, who signed out of Venezuela, has been one of Boston's better hitters in the Rookie-level Dominican Summer League during h",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
12,Walker Jenkins,Walker,Jenkins,805805,walker-jenkins-805805,OF,OF,Minnesota Twins,142,St. Paul Saints,1960,AAA,2026,21,2005-02-19,Wilmington,USA,"6' 3""",210,L,R,2023,"Video scouting report » Scouting grades: Hit: 60 | Power: 60 | Run: 55 | Arm: 60 | Field: 55 | Overall: 60 Jenkins has slipped past Indiana's Max Clark as the top high schooler in the 2023 Draft this spring and is North Carolina's best prep position prospect since Josh Hamilton went No. 1 overall in 1999. A hamate injury hampered him on the showcase circuit during the summer and prevented him from making the U.S. national 18-and-under team after he did so in 2021, but his physical ability was st",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
13,Travis Bazzana,Travis,Bazzana,683953,travis-bazzana-683953,2B,2B,Cleveland Guardians,114,Cleveland Guardians,114,MLB,2026,23,2002-08-28,Hornsby,Australia,"5' 11""",199,L,R,2024,"Video scouting report » Scouting grades: Hit: 65 | Power: 60 | Run: 60 | Arm: 50 | Field: 50 | Overall: 65 A native of Sydney, Australia, Bazzana came to the United States and immediately made an impact with a .902 OPS as a freshman. He upped that to 1.122 with 11 homers and 36 steals a year later, then raised his profile even more when he won the Cape Cod League batting title (.375) and MVP Award, putting him near the top of most Draft boards. The left-handed-hitting infielder is compact and st",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
14,Thomas White,Thomas,White,806258,thomas-white-806258,LHP,P,Miami Marlins,146,Jacksonville Jumbo Shrimp,564,AAA,2026,21,2004-09-29,Rowley,USA,"6' 5""",240,L,L,2023,"Video scouting report » Scouting grades: Fastball: 60 | Curveball: 55 | Changeup: 50 | Control: 50 | Overall: 50 There has never been a high school left-hander from Massachusetts taken in the first round of the Draft and the last time a prep pitcher of any kind from the Bay State went in the opening round was back in 2011, when the Blue Jays took Tyler Beede, who instead headed to Vanderbilt. White has at times been tough to scout as he’s been picky about which events to attend, but he did show ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
15,Caleb Bonemer,Caleb,Bonemer,815352,caleb-bonemer-815352,3B/SS,SS,Chicago White Sox,145,Winston-Salem Dash,580,A+,2028,20,2005-10-05,Lansing,USA,"6' 1""",195,R,R,2024,"Video scouting report » Scouting grades: Hit: 45 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 50 Gatorade's Michigan high school player of the year in both 2023 and 2024, Bonemer put on some monster performances on the showcase circuit last summer. He homered twice at Perfect Game National and went 6-for-11 with three doubles at the Area Code Games but struggled at other events, so opinions vary based on when scouts saw him. Once considered a potential first-rounder by some clubs, he h",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
16,Aidan Miller,Aidan,Miller,805795,aidan-miller-805795,SS,SS,Philadelphia Phillies,143,Lehigh Valley IronPigs,1410,AAA,2026,21,2004-06-09,Dunedin,USA,"6' 1""",205,R,R,2023,"Video scouting report » Scouting grades: Hit: 50 | Power: 60 | Run: 50 | Arm: 60 | Field: 50 | Overall: 55 In 2020, Jackson Miller came out of J.W. Mitchell High School in Florida as one of the better prep catchers in the class, going in the second round to the Reds. Now it’s his younger brother Aidan’s turn. After a strong summer on the showcase circuit -- highlighted by All-American Game MVP honors and a Home Run Derby title as part of the All-Star break in Los Angeles -- he has the chance to ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
17,Ethan Holliday,Ethan,Holliday,815787,ethan-holliday-815787,SS,SS,Colorado Rockies,115,Fresno Grizzlies,259,A,2029,19,2007-02-23,Tucson,USA,"6' 2""",210,L,R,2025,"Video scouting report » Scouting grades: Hit: 50 | Power: 65 | Run: 50 | Arm: 55 | Field: 50 | Overall: 60 Ever since Jackson Holliday went No. 1 overall in the 2022 Draft, he has told people that his younger brother is better than he was at the same stage. Ethan is more physical and powerful than Jackson and much more closely resembles their father, the seven-time All-Star Matt. Both brothers scuffled on the showcase circuit entering their Draft years, but while Jackson was considered a second-",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
18,Bryce Eldridge,Bryce,Eldridge,805811,bryce-eldridge-805811,1B,DH,San Francisco Giants,137,San Francisco Giants,137,MLB,2026,21,2004-10-20,Fairfax,USA,"6' 7""",251,L,R,2023,"Video scouting report » Scouting grades: Hit: 50 | Power: 50 | Run: 50 | Arm: 60 | Field: 50 | Overall: 50 Scouting grades: Fastball: 55 | Slider: 55 | Changeup: 50 | Control: 50 | Overall: 50 Every Draft class has a fair share of interesting two-way players, with it typically being fairly clear whether that player’s future lies on the mound or in the batter’s box. There were some spirited discussions over the summer with Eldridge, however, with the Virginia high school product excelling both as",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
19,Luis Peña,Luis,Peña,821270,luis-pena-821270,INF,SS,Milwaukee Brewers,158,Wisconsin Timber Rattlers,572,A+,2028,19,2006-11-13,El Limon,Dominican Republic,"5' 11""",185,R,R,,"Scouting grades: Hit: 50 | Power: 50 | Run: 70 | Arm: 55 | Field: 45 | Overall: 45 Milwaukee’s 2024 international class was already considered solid when the organization added two of MLB Pipeline’s Top 25 prospects in the group in Jorge Quintana (No. 12) and Jesús Made (No. 22). Pena didn’t crack that initial ranking, but he did sign for $800,000 to give the Brewers another infield option at the lowest levels. The 5-foot-11 infielder took off in the Dominican Summer League, where he was the Pla",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
20,Zyhir Hope,Zyhir,Hope,814307,zyhir-hope-814307,OF,CF,Los Angeles Dodgers,119,Tulsa Drillers,260,AA,2027,21,2005-01-19,Chesapeake,USA,"5' 10""",193,L,L,2023,"Scouting grades: Hit: 50 | Power: 55 | Run: 70 | Arm: 65 | Field: 55 | Overall: 50 One of the most intriguing sleepers in the 2023 Draft, Hope went unselected in the first 10 rounds because he hadn't participated much on the showcase circuit and was thought to be strongly committed to attending college at North Carolina. The Dodgers planned to select the Virginia prep product in the 11th round, only to get beaten to the punch by the Cubs, who landed him for $400,000. Los Angeles landed him six m",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
21,George Lombard Jr.,George,Lombard Jr.,806146,george-lombard-jr-806146,INF,SS,New York Yankees,147,Scranton/Wilkes-Barre RailRiders,531,AAA,2027,20,2005-06-02,Miami,USA,"6' 2""",190,R,R,2023,"Video scouting report » Scouting grades: Hit: 50 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 50 George Lombard was an exciting high school product in the Atlanta area who was taken by his hometown team, the Braves, in the second round of the 1994 Draft and went on to play parts of six big league seasons in a 16-year professional career. Now the bench coach for the Detroit Tigers, he’ll get to see if his son can beat his Draft spot as Lombard Junior showed off some intriguing tools on ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
22,Ryan Sloan,Ryan,Sloan,815549,ryan-sloan-815549,RHP,P,Seattle Mariners,136,Arkansas Travelers,574,AA,2028,20,2006-01-29,Aurora,USA,"6' 5""",220,R,R,2024,"Video scouting report » Scouting grades : Fastball: 60 | Slider: 55 | Changeup: 60 | Control: 50 | Overall: 55 The Illinois high school ranks produced a pair of first-round pitchers (Owen Murphy, Noah Schultz) in 2022 and another arm who got first-round money (Blake Wolters) in 2023. Sloan has a better combination of stuff and polish than any of them and should become a first-rounder in July. He dominated throughout the summer showcase circuit while getting swings-and-misses with three different",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
23,Liam Doyle,Liam,Doyle,824604,liam-doyle-824604,LHP,P,St. Louis Cardinals,138,Springfield Cardinals,440,AA,2027,21,2004-06-03,Boston,USA,"6' 2""",220,R,L,2025,"Video scouting report » Scouting grades: Fastball: 75 | Slider: 55 | Cutter: 55 | Splitter: 55 | Control: 50 | Overall: 55 Doyle was Coastal Carolina's most effective starter as a freshman in 2023, then filled the same role at Mississippi last spring. He averaged 13.7 strikeouts per nine innings, which would have ranked 13th in NCAA Division I (behind four 2023 first-rounders) if he hadn't fallen an inning shy of qualifying. The 2025 Southeastern Conference Pitcher of the Year, he led D-I in str",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
24,Braden Montgomery,Braden,Montgomery,695731,braden-montgomery-695731,OF,OF,Chicago White Sox,145,Charlotte Knights,494,AAA,2026,23,2003-04-16,Des Moines,USA,"6' 2""",220,S,R,2024,"Video scouting report » Scouting grades: Fastball: 55 | Curveball: 55 | Changeup: 50 | Control: 50 | Overall: 50 Scouting grades: Hit: 55 | Power: 50 | Run: 50 | Arm: 60 | Field: 50 | Overall: 50 Montgomery could get drafted as either a hitter or a pitcher, with most teams valuing his bat more but some thinking he's better and has more untapped potential on the mound. He's also the rare Stanford commit from the Deep South, so his signability could be tricky. Gatorade's Mississippi high school pl",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
25,Rainiel Rodriguez,Rainiel,Rodriguez,823787,rainiel-rodriguez-823787,C,C,St. Louis Cardinals,138,Springfield Cardinals,440,AA,2028,19,2007-01-04,Pimentel,Dominican Republic,"5' 10""",197,R,R,,"Scouting grades: Hit: 45 | Power: 60 | Run: 40 | Arm: 50 | Field: 40 | Overall: 40 Rodriguez may have signed for $300,000 out of the Dominican Republic back in April, but by the time Dominican Summer League play began two months later, he was already looking like a potentially major addition as part of St. Louis’ 2024 international class. The 17-year-old backstop was named a DSL midseason All-Star in late July and won the circuit’s Player of the Month Award the same month after he slashed .404/.",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
26,Alfredo Duno,Alfredo,Duno,806957,alfredo-duno-806957,C,C,Cincinnati Reds,113,Dayton Dragons,459,A+,2028,20,2006-01-07,Miranda,Venezuela,"6' 2""",210,R,R,,"Scouting grades: Hit: 50 | Power: 50 | Run: 50 | Arm: 60 | Field: 60 | Overall: 55 Duno is making a case to be the top overall player in the class, and it’s easy to see why. The teen has a chance to have at least three above-average tools -- field, arm and power – as he develops and emerges as one of the most interesting prospects in the class. Here’s what scouts like: He runs well for a catcher, and he already shows elite bat speed. There’s a chance he will have plus power, and he projects to b",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
27,Noah Schultz,Noah,Schultz,702273,noah-schultz-702273,LHP,P,Chicago White Sox,145,Chicago White Sox,145,MLB,2026,22,2003-08-05,Naperville,USA,"6' 10""",240,L,L,2022,"Video scouting report » Scouting grades: Fastball: 55 | Slider: 65 | Changeup: 50 | Control: 50 | Overall: 50 With his 6-foot-9 frame and low three-quarters arm slot, Schultz conjures physical comparisons to Randy Johnson. He can't match the power in the Hall of Famer's arsenal, but Schultz is a lot more polished than Johnson was as a teenager. He's also difficult to figure out because he barely pitched as a high school senior and is strongly committed to Vanderbilt. Schultz's biggest weapon is ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
28,Robby Snelling,Robby,Snelling,702281,robby-snelling-702281,LHP,P,Miami Marlins,,Miami Marlins,146,MLB,2026,22,2003-12-19,Reno,USA,"6' 3""",210,R,L,2022,"Video scouting report » Scouting grades: Fastball: 55 | Curveball: 60 | Changeup: 45 | Control: 50 | Overall: 55 Last summer, Snelling hit the showcase circuit as a big, strong left-handed pitcher who was also a big-time football recruit. Originally planning on heading to Arizona to play both sports, he changed gears when Jay Johnson was named Louisiana State's head coach. Snelling switched his commitment, and with it, the chance to play football at the next level. This spring, he’s continued to",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
29,Jamie Arnold,Jamie,Arnold,701364,jamie-arnold-701364,LHP,P,Athletics,133,Midland RockHounds,237,AA,2027,22,2004-03-21,Tampa,USA,"6' 1""",188,L,L,2025,"Video scouting report » Scouting grades : Fastball: 60 | Slider: 65 | Changeup: 50 | Control: 55 | Overall: 60 Arnold made it clear he’d be a high-end Draft prospect in 2025 after turning in an outstanding sophomore season with Florida State last spring, finishing third among all Division I pitchers in strikeouts, trailing only 2024 first-round picks Chase Burns and Hagen Smith. The Golden Spikes Award semifinalist also finished with a sub-3.00 ERA and an impressive 159/26 K/BB ratio while helpi",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
30,Lazaro Montes,Lazaro,Montes,703155,lazaro-montes-703155,OF,OF,Seattle Mariners,136,Arkansas Travelers,574,AA,2027,21,2004-10-22,Havana,Cuba,"6' 5""",210,L,R,,"Video scouting report » Scouting grades: Hit: 50 | Power: 60 | Run: 50 | Arm: 50 | Field: 50 | Overall: 55 Montes has power and tons of athleticism. It's this combination, along with large frame and projectable body, that make him one of the most interesting prospects on the market. The teen is the perfect example of a prospect that developed quickly and transformed from a one-tool player -- in his case, it was power -- to an all-around talent because of his emerging athleticism. Montes will sta",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
31,Josuar Gonzalez,Josuar,Gonzalez,829034,josuar-gonzalez-829034,SS,SS,San Francisco Giants,137,ACL Giants,408,ROK,2029,18,2007-10-16,San Cristobal,Dominican Republic,"5' 10""",178,S,R,,"Video scouting report » Scouting grades: Hit: 60 | Power: 60 | Run: 50 | Arm: 55 | Field: 50 | Overall: 60 Switch-hitting shortstops with a polished approach at the plate from a young age are sure to draw lofty comparisons, and there’s no shortage of them with it comes to De Jesus, whose ceiling has been held in the same regard as All-Stars Francisco Lindor and José Reyes. A year ago, Leodalis De Vries drew similar hype en route to being ranked as the top international prospect, and he quickly t",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
32,JoJo Parker,JoJo,Parker,828098,jojo-parker-828098,SS,SS,Toronto Blue Jays,141,Dunedin Blue Jays,424,A,2029,19,2006-08-08,Hattiesburg,USA,"6' 2""",200,L,R,2025,"Video scouting report » Scouting grades: Hit: 60 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 55 The Parker twins are the best high school position prospects in Mississippi. Outfielder Jacob has more raw pop, but infielder JoJo offers a more enticing package with superior hitting ability and athleticism and has played his way into the top 10 picks with a strong senior season that earned him Gatorade state player of the year accolades. Multiple scouts have compared him to a more powerfu",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
33,Ryan Waldschmidt,Ryan,Waldschmidt,814439,ryan-waldschmidt-814439,OF,CF,Arizona Diamondbacks,109,Arizona Diamondbacks,109,MLB,2026,23,2002-10-07,Sarasota,USA,"6' 0""",205,R,R,2024,"Video scouting report » Scouting grades: Hit: 55 | Power: 55 | Run: 55 | Arm: 40 | Field: 45 | Overall: 50 Waldschmidt was lightly recruited and scouted as a Florida high schooler because he injured his arm in a home-plate collision as a freshman catcher, could only DH as a sophomore and lost most of his junior season to the pandemic shutdown. He posted a 1.043 OPS in his first college season at Charleston Southern, then dipped to .872 in 2023 after transferring to Kentucky. He was off to a hot ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
34,A.J. Ewing,A.J.,Ewing,805999,a-j-ewing-805999,OF/2B,CF,New York Mets,121,New York Mets,121,MLB,2027,21,2004-08-10,Kettering,USA,"5' 10""",160,L,R,2023,"Scouting grades : Hit: 45 | Power: 45 | Run: 50 | Arm: 45 | Field: 50 | Overall: 40 The Mets received the 134th pick in the 2023 Draft as compensation for losing Jacob deGrom to the Rangers in free agency, and the club used that selection to take Ewing out of Springboro (Ohio) High School. The Alabama commit signed for well-above slot with a $675,000 bonus, roughly equal to slot money in the third round. New York slow-played the teenager in his first full season, opening him in the Florida Compl",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
35,Aiva Arquette,Aiva,Arquette,804109,aiva-arquette-804109,SS,SS,Miami Marlins,146,Beloit Sky Carp,554,A+,2028,22,2003-10-17,Honolulu,USA,"6' 5""",220,R,R,2025,"Video scouting report » Scouting grades: Hit: 50 | Power: 45 | Run: 45 | Arm: 50 | Field: 50 | Overall: 40 There have been a grand total of eight high school position players from Hawaii to be taken in the top 10 rounds of the Draft since the turn of the century, with just one so far, Isiah Kiner-Falefa, to post a positive WAR. Arquette, an infielder like Kiner-Falefa, hopes to be the next after impressing scouts at events like the Area Code Games last summer and Perfect Game's WWBA World Champi",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
