Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Athletic,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Roundup,Fantasy Six Pack,Fantrax HQ,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Pitcher List,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,TJStats,Upside Prospect
"Parker, JoJo",TOR,SS,828098,19.6,2025 #8,,L/R,"6'2"" 200",46,58.20,60,Paywall,Paywall,49,50,Paywall,52,165,43,56,Paywall,51,55,61,45,66,21,51,43,62,37,Paywall,Paywall,73,Paywall
"Montes, Lazaro",SEA,OF,703155,21.4,2022 FA,AA,L/R,"6'5"" 210",47,58.44,71,Paywall,Paywall,97,47,49,108,66,29,76,Paywall,48,71,77,43,20,40,45,97,44,46,50,Paywall,84,Paywall
"DeLauter, Chase",CLE,OF,800050,24.5,2022 #16,MLB,L/L,"6'3"" 235",48,59.04,81,Paywall,Paywall,94,59,Paywall,43,26,58,63,Paywall,37,64,20,46,42,225,86,44,17,15,Paywall,Paywall,53,Paywall
"Holliday, Ethan",COL,SS,815787,19.1,2025 #4,A,L/R,"6'4"" 210",48,59.04,39,Paywall,Paywall,150,54,Paywall,66,47,19,84,Paywall,23,73,60,24,10,26,19,69,56,83,Paywall,Paywall,85,Paywall
"Culpepper, Kaelen",MIN,SS,701785,23.2,2024 #21,AA,R/R,"6'0"" 185",50,60.96,82,Paywall,Paywall,71,63,Paywall,79,97,52,46,Paywall,58,68,84,52,54,17,30,48,48,55,49,Paywall,150,Paywall
"Arquette, Aiva",MIA,SS,804109,22.4,2025 #7,A+,R/R,"6'5"" 220",51,61.24,32,Paywall,Paywall,50,52,Paywall,123,87,41,61,Paywall,43,91,51,47,32,35,67,60,79,85,Paywall,Paywall,50,Paywall
"Early, Connelly",BOS,P,813349,24.0,2023 #151,MLB,L/L,"6'3"" 195",52,62.84,64,Paywall,Paywall,43,81,41,48,38,150,13,Paywall,115,33,23,56,150,225,55,41,49,39,Paywall,Paywall,23,Paywall
"Ballesteros, Moises",CHC,C,694208,22.4,2021 FA,MLB,L/R,"5'8"" 195",53,63.28,47,Paywall,Paywall,80,33,Paywall,51,84,53,57,Paywall,64,85,55,55,35,225,25,55,22,61,38,Paywall,49,Paywall
"Montgomery, Braden",CHW,OF,695731,22.9,2024 #12,AA,S/R,"6'2"" 220",54,63.40,30,Paywall,Paywall,99,69,Paywall,189,100,35,45,Paywall,52,87,62,36,39,46,49,99,57,58,42,Paywall,66,Paywall
"Jump, Gage",ATH,P,695611,23.0,2024 #73,AA,L/L,"6'0"" 200",55,65.96,37,Paywall,Paywall,37,82,Paywall,42,81,60,37,Paywall,67,82,52,57,81,76,48,34,150,95,Paywall,Paywall,26,Paywall
"Susana, Jarlin",WAS,P,703186,22.0,2022 FA,AA,R/R,"6'6"" 235",56,67.84,168,Paywall,Paywall,47,49,Paywall,74,29,87,66,Paywall,57,58,54,80,72,50,Paywall,71,59,78,Paywall,Paywall,69,Paywall
"Beavers, Dylan",BAL,OF,687637,24.6,2022 #33,MLB,L/R,"6'5"" 206",57,68.00,106,Paywall,Paywall,62,61,Paywall,57,39,83,65,Paywall,74,50,33,69,62,225,Paywall,51,150,19,28,Paywall,43,Paywall
"Williams, Carson",TB,SS,700246,22.8,2021 #28,MLB,R/R,"6'2"" 180",58,70.48,54,Paywall,Paywall,45,150,47,39,28,50,47,Paywall,92,56,68,63,75,225,50,62,70,71,Paywall,Paywall,65,Paywall
"Rodriguez, Emmanuel",MIN,OF,691181,23.1,2019 FA,AAA,L/L,"5'11"" 210",59,70.84,57,Paywall,Paywall,48,46,Paywall,97,165,69,72,Paywall,42,67,50,74,44,55,83,150,99,57,Paywall,Paywall,54,Paywall
"Arroyo, Michael",SEA,SS,703197,21.4,2022 FA,AA,R/R,"5'10"" 160",60,71.96,49,Paywall,Paywall,35,72,50,62,78,63,70,Paywall,49,108,150,67,43,58,82,100,87,43,Paywall,Paywall,44,Paywall
"Wiggins, Jaxon",CHC,P,694393,24.5,2023 #68,AAA,R/R,"6'6"" 225",61,75.44,168,Paywall,Paywall,67,78,Paywall,83,72,67,53,Paywall,77,94,59,58,93,34,Paywall,67,65,105,Paywall,Paywall,71,Paywall
"Crawford, Justin",PHI,OF,702222,22.2,2022 #17,AAA,L/R,"6'2"" 188",62,75.76,48,Paywall,Paywall,98,48,Paywall,69,165,54,77,Paywall,78,29,79,53,25,100,38,150,12,48,Paywall,Paywall,150,Paywall
"Caissie, Owen",MIA,OF,683357,23.7,2020 #45,MLB,L/R,"6'3"" 190",63,76.60,168,Paywall,Paywall,91,34,Paywall,77,62,47,89,Paywall,75,83,48,42,33,225,Paywall,81,35,59,36,Paywall,83,Paywall
"Baez, Joshua",STL,OF,695491,22.7,2021 #54,AA,R/R,"6'3"" 220",64,77.20,168,Paywall,Paywall,84,17,35,93,165,150,44,Paywall,150,28,150,87,150,63,61,59,78,24,18,Paywall,41,Paywall
"Schultz, Noah",CHW,P,702273,22.6,2022 #26,AAA,L/L,"6'10"" 240",65,77.24,95,Paywall,Paywall,100,57,Paywall,96,36,40,69,Paywall,32,95,65,49,59,96,74,79,83,102,Paywall,Paywall,79,Paywall
"Nimmala, Arjun",TOR,SS,805796,20.4,2023 #20,A+,R/R,"6'1"" 190",66,77.52,89,Paywall,Paywall,87,150,Paywall,76,48,68,48,Paywall,46,140,95,77,91,43,39,61,89,108,Paywall,Paywall,86,Paywall
"Arnold, Jamie",ATH,P,701364,22.0,2025 #11,,L/L,"6'1"" 188",67,79.64,43,Paywall,Paywall,58,43,Paywall,60,165,38,83,Paywall,38,76,150,41,79,81,Paywall,45,94,93,Paywall,Paywall,77,Paywall
"Sykora, Travis",WAS,P,805809,21.9,2023 #71,AA,R/R,"6'6"" 232",68,80.00,168,Paywall,Paywall,90,65,Paywall,58,109,49,74,Paywall,71,116,67,54,49,74,64,77,95,56,Paywall,Paywall,100,Paywall
"Morales, Emil",LAD,SS,815896,19.5,2024 FA,A,R/R,"6'3"" 191",69,81.08,65,Paywall,Paywall,56,84,Paywall,65,61,100,30,Paywall,85,34,150,92,65,23,Paywall,64,38,40,Paywall,Paywall,150,Paywall
"Witherspoon, Kyson",BOS,P,804817,21.6,2025 #15,,R/R,"6'2"" 206",70,84.24,62,Paywall,Paywall,74,79,Paywall,67,96,89,41,Paywall,83,102,150,84,150,42,75,65,75,86,Paywall,Paywall,78,Paywall
"Caminiti, Cam",ATL,P,807284,19.6,2024 #24,A,L/L,"6'2"" 195",71,85.04,35,Paywall,Paywall,150,70,Paywall,53,165,72,150,Paywall,91,59,98,68,74,75,Paywall,47,88,73,Paywall,Paywall,96,Paywall
"Hopkins, Brody",TB,P,811315,24.2,2023 #187,AA,R/R,"6'4"" 200",72,85.40,83,Paywall,Paywall,72,76,Paywall,86,59,150,150,Paywall,72,98,38,85,150,36,Paywall,49,150,Paywall,Paywall,Paywall,68,Paywall
"Gillen, Theo",TB,OF,815394,20.5,2024 #18,A,L/R,"6'2"" 195",73,85.72,67,Paywall,Paywall,81,150,Paywall,92,165,65,64,Paywall,101,54,75,76,46,29,40,66,150,101,Paywall,Paywall,72,Paywall
"Velazquez, Ralphy",CLE,1B,806252,20.8,2023 #23,AA,L/R,"6'3"" 240",74,86.84,106,Paywall,Paywall,150,67,44,33,40,150,60,Paywall,147,51,57,89,150,149,Paywall,88,42,76,46,Paywall,48,Paywall
"Kilby, Dax",NYY,SS,828076,19.4,2025 #39,A,L/R,"6'2"" 190",75,86.88,106,Paywall,Paywall,40,51,42,113,69,150,38,Paywall,120,60,76,94,150,78,Paywall,57,72,64,Paywall,Paywall,74,Paywall
"Ewing, A.J.",NYM,SS,805999,21.6,2023 #134,AA,L/R,"5'11"" 160",76,88.28,98,Paywall,Paywall,38,62,Paywall,28,165,150,51,Paywall,130,40,43,97,150,65,71,150,46,100,Paywall,Paywall,98,Paywall
"Condon, Charlie",COL,OF,809707,22.9,2024 #3,AA,R/R,"6'6"" 216",77,90.44,46,Paywall,Paywall,150,74,Paywall,300,67,61,82,Paywall,70,70,94,70,26,60,60,150,82,54,Paywall,Paywall,150,Paywall
"Sproat, Brandon",MIL,P,687075,25.5,2023 #56,MLB,R/R,"6'3"" 215",78,93.20,75,Paywall,Paywall,76,93,Paywall,73,37,150,59,Paywall,82,151,71,100,150,225,43,70,74,117,Paywall,Paywall,89,Paywall
"Lagrange, Carlos",NYY,P,801739,22.8,2022 FA,AA,R/R,"6'7"" 248",79,94.12,88,Paywall,Paywall,61,90,Paywall,159,73,74,99,Paywall,125,93,64,79,150,150,100,72,66,97,Paywall,Paywall,70,Paywall
"Farmelo, Jonny",SEA,OF,806071,21.5,2023 #29,A+,L/R,"6'2"" 205",80,95.68,90,Paywall,Paywall,150,150,Paywall,119,51,75,43,Paywall,59,48,73,78,56,225,92,150,150,67,Paywall,Paywall,150,Paywall
"Pratt, Cooper",MIL,SS,806198,21.6,2023 #182,AA,R/R,"6'3"" 206",81,97.44,99,Paywall,Paywall,150,150,Paywall,70,165,56,71,Paywall,61,90,150,64,150,62,58,56,150,Paywall,Paywall,Paywall,63,Paywall
"Rodriguez-Cruz, Elmer",NYY,P,695684,22.6,2021 #105,AAA,L/R,"6'3"" 160",82,97.96,168,Paywall,Paywall,60,80,Paywall,87,53,97,79,Paywall,105,99,150,82,87,68,62,68,67,111,Paywall,Paywall,150,Paywall
"Genao, Angel",CLE,3B,694197,21.9,2021 FA,AA,S/R,"5'9"" 150",83,98.84,31,Paywall,Paywall,55,150,Paywall,80,42,59,150,Paywall,33,133,72,66,57,225,57,80,92,Paywall,Paywall,Paywall,150,Paywall
"Ford, Harry",WAS,C,695670,23.1,2021 #12,MLB,R/R,"5'10"" 200",84,99.84,168,Paywall,Paywall,150,66,Paywall,82,74,42,86,Paywall,53,131,74,71,48,225,42,150,52,110,Paywall,Paywall,82,Paywall
"Reimer, Jacob",NYM,3B,702544,22.1,2022 #119,AA,R/R,"6'0"" 205",85,100.84,168,Paywall,Paywall,70,73,Paywall,138,85,150,50,Paywall,68,107,93,150,150,111,Paywall,150,150,72,Paywall,Paywall,45,Paywall
"Smith, Hagen",CHW,P,696146,22.6,2024 #5,AA,L/L,"6'3"" 235",86,104.00,58,Paywall,Paywall,101,86,Paywall,127,65,88,150,Paywall,90,105,150,72,89,67,Paywall,90,150,113,Paywall,Paywall,150,Paywall
"Mack, Joe",MIA,C,691788,23.2,2021 #31,AAA,L/R,"6'0"" 210",87,105.60,52,Paywall,Paywall,92,150,Paywall,61,56,70,150,Paywall,44,130,36,62,150,148,Paywall,58,90,Paywall,Paywall,Paywall,51,Paywall
"Bremner, Tyler",LAA,P,803285,21.9,2025 #2,,R/R,"6'2"" 190",88,107.12,168,Paywall,Paywall,79,94,Paywall,56,52,91,150,Paywall,110,101,150,81,69,99,Paywall,78,100,Paywall,Paywall,Paywall,150,Paywall
"Tait, Eduardo",MIN,C,806953,19.6,2023 FA,A+,L/R,"6'0"" 175",89,108.76,93,Paywall,Paywall,54,150,Paywall,38,46,57,150,Paywall,95,132,56,65,83,138,76,73,150,98,Paywall,Paywall,93,Paywall
"Scarborough, Caden",TEX,P,807291,21.0,2023 #171,A+,R/R,"6'5"" 185",90,112.56,106,Paywall,Paywall,150,150,Paywall,99,71,150,62,Paywall,145,96,78,150,150,113,Paywall,63,150,88,Paywall,Paywall,56,Paywall
"Hall, Steele",CIN,SS,829162,18.7,2025 #9,,R/R,"6'0"" 180",91,113.48,168,Paywall,Paywall,150,150,Paywall,126,165,79,78,Paywall,136,72,150,83,86,136,Paywall,92,68,112,Paywall,Paywall,150,Paywall
"Lewis, Tyson",CIN,SS,815653,20.2,2024 #51,A,L/R,"6'2"" 195",92,120.12,68,Paywall,Paywall,66,89,Paywall,170,165,76,150,Paywall,121,77,150,150,150,137,Paywall,150,150,82,Paywall,Paywall,150,Paywall
"Jones, Spencer",NYY,OF,682987,24.9,2022 #25,AAA,L/L,"6'7"" 240",93,122.28,168,Paywall,Paywall,150,60,Paywall,177,165,99,150,Paywall,89,69,150,150,61,116,85,150,53,65,Paywall,Paywall,150,Paywall
"Clifford, Ryan",NYM,1B,691775,22.7,2022 #343,AAA,L/L,"6'3"" 200",94,122.44,168,Paywall,Paywall,86,77,Paywall,106,165,150,150,Paywall,173,84,81,150,150,225,Paywall,150,150,121,Paywall,Paywall,150,Paywall
"Messick, Parker",CLE,P,800048,25.4,2022 #54,MLB,L/L,"6'0"" 225",95,122.96,92,Paywall,Paywall,83,87,Paywall,45,82,150,75,Paywall,188,78,150,95,150,225,Paywall,82,150,Paywall,Paywall,Paywall,150,Paywall
"Fien, Gavin",WAS,SS,815818,19.0,2025 #12,A,R/R,"6'3"" 200",96,124.80,76,Paywall,Paywall,59,150,Paywall,117,165,150,150,Paywall,263,117,150,150,88,59,Paywall,83,150,109,Paywall,Paywall,150,Paywall
"Cijntje, Jurrangelo",STL,P,701388,22.8,2024 #15,AA,S/S,"5'11"" 200",97,125.32,168,Paywall,Paywall,52,150,Paywall,95,94,90,150,Paywall,81,201,97,91,70,225,70,150,84,Paywall,Paywall,Paywall,150,Paywall
"Henderson, Logan",MIL,P,701656,24.1,2021 #116,MLB,R/R,"6'0"" 209",98,125.40,168,Paywall,Paywall,150,88,Paywall,64,88,150,42,Paywall,93,65,92,150,150,225,Paywall,150,73,Paywall,Paywall,Paywall,91,Paywall
"George, Nate",BAL,OF,825582,19.8,2024 #489,A+,R/R,"6'0"" 200",99,125.52,78,Paywall,Paywall,64,150,Paywall,114,165,150,150,Paywall,155,159,150,93,150,225,Paywall,76,150,70,Paywall,Paywall,59,Paywall
"Melton, Jacob",TB,OF,689200,25.5,2022 #64,MLB,L/L,"6'3"" 208",99,125.52,168,Paywall,Paywall,150,150,Paywall,81,165,150,150,Paywall,103,92,150,150,150,225,89,86,150,80,Paywall,Paywall,80,Paywall
"Chourio, Kendry",KC,P,830402,18.5,2025 FA,A,R/R,"6'0"" 160",99,125.52,61,Paywall,Paywall,150,150,Paywall,124,165,150,150,Paywall,111,156,96,150,150,45,Paywall,74,150,90,Paywall,Paywall,150,Paywall
"Ritchie, J.R.",ATL,P,702275,22.7,2022 #35,AAA,R/R,"6'2"" 185",102,125.64,106,Paywall,Paywall,88,71,Paywall,89,68,86,150,Paywall,154,255,83,90,77,225,84,150,150,Paywall,Paywall,Paywall,150,Paywall
"Garcia, Jhostynxon",PIT,OF,691373,23.3,2019 FA,MLB,R/R,"6'0"" 163",103,127.28,106,Paywall,Paywall,150,150,Paywall,140,165,85,150,Paywall,86,106,80,150,99,225,68,150,69,92,Paywall,Paywall,150,Paywall
"Quero, Jeferson",MIL,C,691620,23.5,2019 FA,AAA,R/R,"5'11"" 203",104,132.80,74,Paywall,Paywall,150,150,Paywall,75,76,84,150,Paywall,79,305,85,150,85,72,53,95,150,Paywall,Paywall,Paywall,150,Paywall
"Celesten, Felnin",SEA,SS,806958,20.5,2023 FA,A,S/R,"6'1"" 175",105,133.76,77,Paywall,Paywall,150,150,Paywall,105,86,150,87,Paywall,55,126,150,150,80,104,36,91,81,66,Paywall,Paywall,150,Paywall
"Gibson, Trey",BAL,P,694346,23.9,2023 FA,AAA,R/R,"6'5"" 240",106,135.40,168,Paywall,Paywall,150,150,Paywall,46,83,150,88,Paywall,203,197,82,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Carlson, Billy",CHW,SS,815814,19.7,2025 #10,,R/R,"6'1"" 185",107,135.60,66,Paywall,Paywall,93,150,Paywall,100,165,150,150,Paywall,88,141,150,73,100,87,Paywall,75,150,Paywall,Paywall,Paywall,150,Paywall
"Valdez, Esmerlyn",PIT,OF,699013,22.2,2021 FA,AA,R/R,"6'2"" 181",108,136.04,168,Paywall,Paywall,150,99,45,175,165,150,100,Paywall,122,162,150,150,150,89,Paywall,150,150,77,Paywall,Paywall,150,Paywall
"Rojas, Jefferson",CHC,SS,800473,20.9,2022 FA,AA,R/R,"5'11"" 150",109,137.72,79,Paywall,Paywall,150,150,Paywall,107,55,150,73,Paywall,54,157,150,150,150,33,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Level, Jhonny",SF,SS,815929,19.0,2024 FA,A,S/R,"5'10"" 154",110,137.92,168,Paywall,Paywall,69,150,Paywall,84,77,150,150,Paywall,119,139,150,150,150,64,81,150,150,87,Paywall,Paywall,150,Paywall
"Stephen, Khal",CLE,P,701590,23.3,2024 #59,AA,R/R,"6'4"" 215",111,140.16,168,Paywall,Paywall,150,150,Paywall,68,91,150,80,Paywall,166,193,150,150,150,80,Paywall,89,150,Paywall,Paywall,Paywall,87,Paywall
